################################
#  France

Key,           Name,                    Code
paris,         Paris SG,                PSG
bastia,        SC Bastia,               SCB
bordeaux,      Girondins de Bordeaux,   FCGB
caen,          SM Caen,                 SMC
lyon,          Olympique Lyonnais,      OL
saintetienne,  AS Saint-Étienne,        ASSE
lille,         OSC Lille,               LOSC
lorient,       FC Lorient,              FCL
rennes,        Stade Rennais FC,        SRFC
guingamp,      EA Guingamp,             EAG
marseille,     Olympique Marseille,     OM
nice,          OGC Nice,                OGCN
montpellier,   HSC Montpellier,         MHSC
nantes,        FC Nantes,               FCN
reims,         Stade de Reims,          SDR
toulouse,      Toulouse FC,             TFC
##  ajacciogfc,    GFC Ajaccio,             ?     ## fix: add nil or n/a support via ?
troyes,        ESTAC Troyes,            ESTAC
angers,        Angers SCO,              SCO
evian,         Évian TG,                ETG
lens,          RC Lens,                 RCL
metz,          FC Metz,                 FCM
ajaccio,       AC Ajaccio,              ACA
avignon,       AC Arles Avignon,        ACA   ## ???
auxerre,       AJ Auxerre,              AJA
brest,         Stade Brestois 29,       SB29
chateauroux,   Châteauroux,             LBC
clermont,      Clermont Foot 63,        CF63
creteil,       US Créteil-Lusitanos,    USCL
dijon,         Dijon FCO,               DFCO
laval,         Stade Lavallois,         LAVAL
havre,         Havre AC,                HAC
nancy,         AS Nancy-Lorraine,       ASNL
niort,         Chamois Niortais,        NIORT
nimes,         Nîmes Olympique,         NIMES
orleans,       US Orléans,              USO
sochaux,       FC Sochaux-Montbéliard,  FCSM
tours,         Tours FC,                TOURS
valenciennes,  Valenciennes FC,         VAFC

# Monaco (MCO), mc
monaco,        AS Monaco,               ASM
