#########################################################
#  Switzerland • Confoederatio Helvetica (ch)

# note: uses "official" two/three letter codes from sfl.ch

Key,           Name,                 Code
zuerich,       FC Zürich,            FCZ
grasshopper,   Grasshoppers Zürich,  GC
basel,         FC Basel,             BAS
youngboys,     BSC Young Boys,       YB
luzern,        FC Luzern,            LUZ
stgallen,      FC St. Gallen,        SG
thun,          FC Thun,              THU
sion,          FC Sion,              SIO
aarau,         FC Aarau,             AAR
lausanne,      FC Lausanne-Sport,       LS
slo,           FC Stade-Lausanne-Ouchy, SLO
lemont,        FC Le Mont,           LMT
servette,      Servette Genève,      SFC
lugano,        FC Lugano,            LUG
wil,           FC Wil,               WIL
winterthur,    FC Winterthur,        WIN
chiasso,       FC Chiasso,           CHI
biel,          FC Biel-Bienne,       BIE
wohlen,        FC Wohlen,            WOH
schaffhausen,  FC Schaffhausen,      FCS
locarno,       FC Locarno,           LOC
xamax,         Neuchâtel Xamax FCS,  XAM
kriens,        SC Kriens,            SCK

# Liechtenstein (li) Teams
vaduz,         FC Vaduz,             VAD
